,,grade,grade,total_reward,total_reward,mean_latency_ms,mean_latency_ms,p95_latency_ms,p95_latency_ms,loss_rate,loss_rate,throughput,throughput,util_std,util_std
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
agent,task_id,,,,,,,,,,,,,,
ecmp,easy_static_mesh,0.7465510927674128,0.006658924964636791,337.19640614173045,20.497437338283532,4.771098589114442,0.5762200300704038,9.636895578724719,0.6366995729204609,0.0,0.0,75.2,3.8987177379235853,0.004739242563825668,0.0003199141484501677
ecmp,hard_failure_shift,0.7765115088109091,0.003444476417965827,-633.869388089334,62.23114560211366,4.602546028420731,0.33533969162096805,9.977939989714338,1.8666589953190096,0.0,0.0,53.6,6.767569726275452,0.23491852996902202,3.0943504865029874e-05
ecmp,medium_bursty_dc,0.8658733999238264,0.0005808803924701447,547.5018003152118,9.036438870565183,1.4966528576741571,0.05894886727067956,2.655698613428696,0.15197451524850536,0.0,0.0,113.6,1.8165902124584943,0.0026784612665927097,0.00013070478821093276
ecmp,research_burst,0.8754359708080462,0.0013902476829828277,688.3258634505581,20.433882374328846,4.227629473139933,0.1947183285785268,8.242104334212497,0.7094746458070629,0.0,0.0,152.8,3.898717737923582,0.005133475456009595,0.000531893506145487
ospf_dijkstra,easy_static_mesh,0.747010284085278,0.007601633238524368,336.82215945046556,20.20549643363516,4.791217674787712,0.610162467560358,9.193796264921103,1.2530373638086383,0.0,0.0,75.2,3.8987177379235853,0.004929246854723728,0.0003638378877549383
ospf_dijkstra,hard_failure_shift,0.7983353491998217,0.0057708385523509214,611.0308056184709,111.64183140870296,5.103929248507306,0.6259570980842424,10.647929760349774,2.554639730785954,0.0,0.0,164.0,13.729530217745983,0.2344203816993038,6.866247459219729e-05
ospf_dijkstra,medium_bursty_dc,0.8662793764598147,0.0005267973921608052,547.573450622774,8.810556684523894,1.445767861845585,0.08002018624414639,2.4806959511126623,0.19152374591364563,0.0,0.0,113.6,1.8165902124584943,0.0026819612563598306,6.314498876741673e-05
ospf_dijkstra,research_burst,0.8754564274624906,0.0014724771859519043,680.2302526183004,27.185927584053555,4.208243797364833,0.2383498762277251,7.894007672477659,0.7152765011327028,0.0,0.0,151.0,5.244044240850758,0.004757902788631041,0.0003375684238691998
perfect_oracle,easy_static_mesh,0.7551471620124679,0.0074162783327621695,340.3229236203912,20.61184388574589,4.100269296950758,0.6172229803559202,7.19123963319935,0.9510352306794844,0.0,0.0,74.8,3.7682887362833544,0.00512883793204739,0.00038002209560906037
perfect_oracle,hard_failure_shift,0.8054554250013102,0.0035515936398332793,759.3224787075396,37.62897486405717,4.228748554029963,0.4538878815677776,7.60011583706442,0.8837633155276805,0.0,0.0,167.4,7.0922492905988594,0.23428430043359727,3.831741608173364e-05
perfect_oracle,medium_bursty_dc,0.8676959170218874,0.00033776887659314384,550.7008205986244,8.771110175036219,1.1823998250175927,0.06226391058474879,1.882900476754805,0.07915317710133664,0.0,0.0,113.6,1.8165902124584943,0.0029481796207885547,0.00017856710637440952
perfect_oracle,research_burst,0.8738475306570065,0.0014619425045036508,616.408066977948,25.772738836245104,3.5948180765606756,0.314703719499998,6.289705062879847,0.9571884318529699,0.0,0.0,135.4,5.9413803110051795,0.005473989537951791,0.0004427149051061265
rl_dqn,easy_static_mesh,0.7471808901075213,0.00860638203156709,337.42423834584986,21.306365877039706,4.734901721045128,0.7269055099170622,9.366012551699482,1.1681772217130841,0.0,0.0,75.2,3.8987177379235853,0.004919326258448609,0.00032810183139139043
rl_dqn,hard_failure_shift,0.8041892134221943,0.004655828636045662,817.1100294717222,47.25242412301261,4.963673858470413,0.5256825146334492,9.688799519650392,1.2361287427407732,0.0,0.0,183.0,8.426149773176359,0.23428523849046737,4.026420226721781e-05
rl_dqn,medium_bursty_dc,0.8657776488823193,0.0007735557023653801,546.6132925091678,9.619437005985393,1.5305347217816534,0.08981170767073425,2.5779508620837097,0.13931894205686246,0.0,0.0,113.6,1.8165902124584943,0.00287404690747413,0.0001461192249772598
rl_dqn,research_burst,0.8760144395322795,0.0016880250627564046,688.200687719512,23.68552389317496,4.11044549567694,0.2686726978826668,7.555066209748477,0.601048043786946,0.0,0.0,152.4,4.335896677735759,0.005188593128867025,0.0006729317094375085
sr_te,easy_static_mesh,0.7551471620124679,0.0074162783327621695,340.3229236203912,20.61184388574589,4.100269296950758,0.6172229803559202,7.19123963319935,0.9510352306794844,0.0,0.0,74.8,3.7682887362833544,0.00512883793204739,0.00038002209560906037
sr_te,hard_failure_shift,0.8046013642995252,0.0038917900569704327,714.8487736204681,61.31633033914307,4.225797383060928,0.45451610525351427,7.65364500101127,0.9612780409885212,0.0,0.0,163.8,8.871302046486752,0.23430391063233041,3.666336045365065e-05
sr_te,medium_bursty_dc,0.8676959170218874,0.00033776887659314384,550.7008205986244,8.771110175036219,1.1823998250175927,0.06226391058474879,1.882900476754805,0.07915317710133664,0.0,0.0,113.6,1.8165902124584943,0.0029481796207885547,0.00017856710637440952
sr_te,research_burst,0.8738465040624044,0.0014612152939164499,616.3890727142553,25.7477268183564,3.5947487158667366,0.314616771568991,6.289711027468532,0.9571923132582227,0.0,0.0,135.4,5.9413803110051795,0.005477992756427859,0.00043689461981721796
